ID,QUESTION,A,B,C,D,CORRECT,DIFFICULTY,TOPIC,YEAR,EXPLANATION,SOURCE
Q001,What does EBITDA stand for?,Earnings Before Interest Taxes Depreciation and Amortization,Earnings Before Income Taxes Depreciation and Adjustments,Equity Before Interest Taxes Debt and Assets,Earnings Before Inventory Taxes and Depreciation,A,Easy,Accounting,,EBITDA is a common proxy for operating performance before capital structure and non-cash charges.,Investopedia
Q002,Which financial statement reports a company's assets liabilities and equity at a point in time?,Income Statement,Cash Flow Statement,Balance Sheet,Statement of Comprehensive Income,C,Easy,Accounting,,The balance sheet is a snapshot of assets/ liabilities/ and shareholders' equity.,Corporate finance basics
Q003,In a DCF valuation/ which rate is used to discount future free cash flows to present value?,Dividend yield,WACC,Inflation rate,Coupon rate,B,Easy,Valuation,,Free cash flows to the firm are typically discounted at WACC in an unlevered DCF.,Damodaran
Q004,Enterprise Value is most commonly defined as market capitalization plus net debt. Net debt is best described as:,Total debt minus cash and cash equivalents,Cash minus total debt,Total assets minus total liabilities,EBITDA minus CAPEX,A,Easy,Valuation,,Net debt is total debt less cash and cash equivalents.,Corporate finance basics
Q005,Which of the following instruments represents ownership in a company?,Bond,Equity share,Interest rate swap,Futures contract,B,Easy,Markets,,Equity shares represent ownership and a residual claim on the firm.,CFA curriculum
Q006,What is the primary market?,Where existing shares trade between investors,Where new securities are issued to investors,Where commodities are exchanged,Where central banks set interest rates,B,Easy,Capital Markets,,"Primary markets involve issuance of new securities, secondary markets are for trading existing ones.",SEC investor education
Q007,A leveraged buyout is an acquisition financed largely with:,Retained earnings,Debt,Convertible preferred stock only,Government grants,B,Easy,M&A,,LBOs use significant debt to fund the purchase price/ with cash flows servicing the debt.,Corporate finance basics
Q008,Which ratio is commonly used to assess short term liquidity?,Return on equity,Current ratio,Price to earnings,EV to sales,B,Easy,Accounting,,Current ratio = current assets divided by current liabilities.,Corporate finance basics
Q009,If inflation rises and central banks increase policy rates/ the immediate effect on bond prices is typically:,Bond prices rise,Bond prices fall,Bond prices stay unchanged,Bond prices become zero,B,Easy,Fixed Income,,Higher yields mean lower present value of fixed cash flows/ so prices fall.,CFA curriculum
Q010,In equity markets/ beta measures:,Dividend payout,Sensitivity of a stock to market movements,A company's leverage ratio,A bond's duration,B,Easy,Markets,,Beta measures systematic risk relative to the market benchmark.,CFA curriculum
